区域,年份,房屋建筑施工面积_m²,新开工面积_m²,竣工产值_千元,建筑业增加值_亿元,来源与备注
全市,2021,,,,,待补（2022年鉴14-5表：2021年国有及国有控股对比列）
全市,2022,7088645,1124059,4627367,,2022年鉴14-1/14-7表
全市,2023,5104384,966378,6490120,,2023年鉴14-1/14-7表
全市,2024,6318918,1032048,7454118,,2024年鉴14-1/14-7表
全市,2025,6429000,,,,市2025统计公报（年鉴未出）
新城区,2023,1722300,,,84.77,区2023公报（施工172.23万m²/竣工31.54万m²）
新城区,2024,2224600,,,49.81,区2024公报（施工222.46万m²/竣工86.05万m²）
新城区,2025,1730700,,,,"区2025公报按-22.2%回推（原文""17.31万""疑排版错误）"
赛罕区,2024,6167000,,,,区2024公报（注册地口径>全市，仅作相对强度）
回民区,2024,,,,37.81,区2024公报（建筑业增加值）
和林格尔县,2024,17000,,,,由2025公报+347.8%回推
和林格尔县,2025,76000,,,,县2025公报
托克托县,2024,,,,,县2024公报：房地产开发投资1.80亿元/商品房销售7.5万m²
新城区,2023,,,,,房地产开发投资789705万元（2025版年鉴旗县区篇22表）
新城区,2024,,,,,房地产开发投资695481万元（增速-19.5%，可比口径）
回民区,2023,,,,,房地产开发投资113799万元（2025版年鉴旗县区篇22表）增速校核一致
回民区,2024,,,,,房地产开发投资409360万元（增速259.7%，可比口径）增速校核一致
玉泉区,2023,,,,,房地产开发投资318396万元（2025版年鉴旗县区篇22表）增速校核一致
玉泉区,2024,,,,,房地产开发投资421147万元（增速32.3%，可比口径）增速校核一致
赛罕区,2023,,,,,房地产开发投资697920万元（2025版年鉴旗县区篇22表）2023按增速回推697920（印刷值疑为631920的排版差异），2024=903296与29.4%一致
赛罕区,2024,,,,,房地产开发投资903296万元（增速29.4%，可比口径）2023按增速回推697920（印刷值疑为631920的排版差异），2024=903296与29.4%一致
土默特左旗,2023,,,,,房地产开发投资101438万元（2025版年鉴旗县区篇22表）2023按增速回推101438（印刷值84000与增速矛盾），2024=106104一致
土默特左旗,2024,,,,,房地产开发投资106104万元（增速4.6%，可比口径）2023按增速回推101438（印刷值84000与增速矛盾），2024=106104一致
托克托县,2023,,,,,房地产开发投资27307万元（2025版年鉴旗县区篇22表）与县公报17984万完全一致
托克托县,2024,,,,,房地产开发投资17984万元（增速-35.1%，可比口径）与县公报17984万完全一致
和林格尔县,2023,,,,,房地产开发投资34471万元（2025版年鉴旗县区篇22表）
和林格尔县,2024,,,,,房地产开发投资21025万元（增速-39.0%，可比口径）
清水河县,2023,,,,,房地产开发投资9875万元（2025版年鉴旗县区篇22表）
清水河县,2024,,,,,房地产开发投资19223万元（增速94.7%，可比口径）
武川县,2023,,,,,房地产开发投资5806万元（2025版年鉴旗县区篇22表）
武川县,2024,,,,,房地产开发投资8230万元（增速41.7%，可比口径）
