,G1_新城区,G2_回民区,G3_玉泉区,G4_赛罕区,G5_土默特左旗,G6_托克托县,G7_和林格尔县,G8_清水河县,G9_武川县,新城区装修垃圾分拣中心,回民区装修垃圾分拣中心,玉泉装修垃圾分拣中心,赛罕装修垃圾分拣中心,和林格尔县装修垃圾分拣中心,托克托县装修垃圾分拣中心,清水河县装修垃圾分拣中心,武川县装修垃圾分拣中心,强鑫资源化利用项目,亿友资源化利用项目,路雅资源化利用项目,土左旗城发物资再生资源利用有限公司,大里堡建筑垃圾消纳场,大厂库伦建筑垃圾消纳场,茂林太建筑垃圾消纳场,和林格尔县建筑垃圾消纳场,托克托县建筑垃圾消纳场,武川县建筑垃圾消纳场,黑沙图建筑垃圾消纳场,赛罕区长维建筑垃圾分拣中心
G1_新城区,0,14.31,16.62,11.23,54.53,87.32,67.29,126.2,45.26,9.74,16.49,30.8,10.37,35.05,80.11,126.2,45.26,30.8,30.04,18.29,56.32,37.38,15.78,37.46,75.79,80.11,44.64,23.34,20.92
G2_回民区,16.27,0,9.99,14.11,47.43,74.55,60.74,119.66,43.1,5.56,5.04,18.03,22.83,42.76,67.33,119.66,43.1,18.03,22.93,33.38,49.22,30.28,28.25,24.69,69.24,67.33,42.48,35.81,24.8
G3_玉泉区,16.79,9.32,0,7.94,54.56,74.56,46.05,104.96,50.07,15.09,14.69,14.45,28.59,27.58,67.35,104.96,50.07,14.45,29.14,18.59,56.34,36.49,22.9,13.79,54.55,67.35,49.45,32.49,9.62
G4_赛罕区,11.81,10.4,6.88,0,60.11,80.02,52.87,111.78,47.37,7.05,16.98,23.5,21.44,31.46,72.8,111.78,47.37,23.5,28.8,19.41,61.89,42.04,16.52,20.61,61.37,72.8,46.75,30.27,13.51
G5_土默特左旗,57.0,46.48,55.99,58.45,0,61.65,95.3,137.16,79.33,48.3,40.14,47.21,63.56,77.31,57.47,137.16,79.33,47.21,25.86,67.94,3.22,20.3,68.97,53.87,103.8,57.47,78.72,76.53,59.35
G6_托克托县,88.86,74.69,77.2,79.66,61.45,0,64.62,80.11,115.3,80.16,72.71,59.75,95.42,93.88,9.58,80.11,115.3,59.75,62.42,89.26,58.86,61.63,92.33,65.38,72.04,9.58,114.68,103.16,80.67
G7_和林格尔县,62.0,59.7,46.15,55.76,96.77,64.38,0,62.27,100.45,59.89,60.08,52.84,70.72,37.66,68.22,62.27,100.45,52.84,71.36,60.72,98.56,78.7,65.03,46.41,9.63,68.22,99.83,74.62,50.4
G8_清水河县,121.09,118.78,105.23,114.85,136.85,79.76,62.34,0,159.53,118.97,119.16,111.92,129.8,96.52,89.58,0.0,159.53,111.92,130.44,119.8,134.26,137.79,124.11,105.5,65.02,89.58,158.91,133.7,109.48
G9_武川县,47.49,42.56,49.65,46.89,79.71,114.81,100.96,159.87,0,39.35,45.1,58.29,56.33,75.44,107.6,159.87,0.0,58.29,58.65,62.22,81.49,65.99,55.47,64.96,109.46,107.6,4.61,67.32,57.48
新城区装修垃圾分拣中心,8.69,5.6,9.87,6.29,49.54,82.33,60.65,119.56,39.82,0,11.5,25.81,18.86,36.67,75.12,119.56,39.82,25.81,25.05,23.07,51.33,32.39,16.37,32.48,69.15,75.12,39.2,31.84,18.71
