年份,设施名称,设施类型,所在区域,处理种类,设计能力,能力单位,实际处理量_万吨或万方,备注
2023,内蒙古路雅物资再生利用有限公司,资源化利用厂,（土默特左旗）,工程垃圾,100,万吨/年,69,
2023,土左旗城发物资再生资源利用有限公司,资源化利用厂,土默特左旗,工程垃圾,30,万吨/年,11.95,
2024,强鑫建筑垃圾再生资源利用公司,资源化利用厂,,装修垃圾、建筑垃圾,50,万吨/年,12.8,
2024,亿友再生资源有限公司,资源化利用厂,,装修垃圾、建筑垃圾,150,万吨/年,47.6,
2024,路雅物资再生利用有限公司,资源化利用厂,,建筑垃圾,100,万吨/年,4.3,
2024,大里堡建筑垃圾消纳场,填埋场,,建筑垃圾,526,万立方米库容,,该列为剩余库容（万m³），非当年填埋量；2024年报未公布单场填埋量，全市填埋总量135.61万吨
2024,大厂库伦建筑垃圾消纳场,填埋场,,建筑垃圾,102,万立方米库容,,该列为剩余库容（万m³），非当年填埋量；2024年报未公布单场填埋量，全市填埋总量135.61万吨
2024,茂林太建筑垃圾消纳场,填埋场,,建筑垃圾,58,万立方米库容,,该列为剩余库容（万m³），非当年填埋量；2024年报未公布单场填埋量，全市填埋总量135.61万吨
2025,新城区装修垃圾分拣中心,分拣中心（转运层）,新城区,装修垃圾,24,万吨/年,8.08,
2025,回民区装修垃圾分拣中心,分拣中心（转运层）,回民区,装修垃圾,21,万吨/年,14.39,
2025,玉泉装修垃圾分拣中心,分拣中心（转运层）,玉泉区,装修垃圾,19.5,万吨/年,7.93,
2025,赛罕装修垃圾分拣中心,分拣中心（转运层）,赛罕区,装修垃圾,30,万吨/年,22.83,
2025,和林格尔县装修垃圾分拣中心,分拣中心（转运层）,和林格尔县,装修垃圾,30,万吨/年,14.55,
2025,托克托县装修垃圾分拣中心,分拣中心（转运层）,托克托县,装修垃圾,17.5,万吨/年,0.04,
2025,清水河县装修垃圾分拣中心,分拣中心（转运层）,清水河县,装修垃圾,10,万吨/年,1.31,
2025,武川县装修垃圾分拣中心,分拣中心（转运层）,武川县,装修垃圾,3,万吨/年,0.02,
2025,强鑫资源化利用项目,资源化利用厂,,装修垃圾,50,万吨/年,13.43,
2025,亿友资源化利用项目,资源化利用厂,,装修垃圾、建筑垃圾,150,万吨/年,97.07,
2025,路雅资源化利用项目,资源化利用厂,,建筑垃圾,100,万吨/年,22.38,
2025,大里堡建筑消纳场,填埋场,,建筑垃圾,309.45,万立方米库容,35.12,实际填埋量（万方）
2025,茂林太建筑垃圾消纳场,填埋场,,建筑垃圾,34.11,万立方米库容,14.92,实际填埋量（万方）
2025,和林格尔县建筑垃圾消纳场,填埋场,,建筑垃圾,36,万立方米库容,6.54,实际填埋量（万方）
2025,托克托县建筑垃圾消纳场,填埋场,,建筑垃圾,19.4,万立方米库容,6.85,实际填埋量（万方）
2025,武川县建筑垃圾消纳场,填埋场,,建筑垃圾,2.1,万立方米库容,5,实际填埋量（万方）
