facility,type,district,lng,lat,confidence
新城区装修垃圾分拣中心,分拣中心,新城区,111.666519,40.829125,approx
回民区装修垃圾分拣中心,分拣中心,土默特左旗,111.577597,40.801874,exact
玉泉装修垃圾分拣中心,分拣中心,玉泉区,111.565375,40.691525,plausible
赛罕装修垃圾分拣中心,分拣中心,赛罕区,111.839617,40.873754,plausible
和林格尔县装修垃圾分拣中心,分拣中心,和林格尔县,111.894513,40.638170,exact
托克托县装修垃圾分拣中心,分拣中心,托克托县,111.223870,40.343821,exact
清水河县装修垃圾分拣中心,分拣中心,清水河县,111.647456,39.920966,approx
武川县装修垃圾分拣中心,分拣中心,武川县,111.451736,41.096584,approx
强鑫资源化利用项目,资源化厂,玉泉区,111.565375,40.691525,plausible
亿友资源化利用项目,资源化厂,土默特左旗,111.443002,40.735577,exact
路雅资源化利用项目,资源化厂,赛罕区,111.836329,40.745850,exact
土左旗城发物资再生资源利用有限公司,资源化厂,土默特左旗,111.134424,40.720580,exact
大里堡建筑垃圾消纳场,填埋场,土默特左旗,111.361789,40.724183,exact
大厂库伦建筑垃圾消纳场,填埋场,赛罕区,111.829420,40.841681,exact
茂林太建筑垃圾消纳场,填埋场,玉泉区,111.625760,40.677383,exact
和林格尔县建筑垃圾消纳场,填埋场,和林格尔县,111.808577,40.307854,exact
托克托县建筑垃圾消纳场,填埋场,托克托县,111.223870,40.343821,exact
武川县建筑垃圾消纳场,填埋场,武川县,111.491592,41.097469,exact
黑沙图建筑垃圾消纳场,填埋场,赛罕区,111.974171,40.828793,plausible
赛罕区长维建筑垃圾分拣中心,分拣中心（转运层）,赛罕区,111.758759,40.746677,approx
