holdout_year,method,plan_obj,actual,regret,disappointed
1,DET,694212167.720706,826277037.9300001,132064870.20929408,True
1,SAA,1320621733.289049,812559572.6497884,-508062160.63926053,False
1,DRO(0.05),1341137177.626091,824123849.0552002,-517013328.5708908,False
1,DRO(0.10),1484779094.20282,826323849.0552002,-658455245.1476198,False
1,DRO(0.20),2165070340.482275,828311356.1792,-1336758984.3030748,False
1,ROB,2370676507.3599997,839893638.4022002,-1530782868.9577994,False
2,DET,694212167.720706,2203155911.4800005,1508943743.7592945,True
2,SAA,928514805.5154879,1754096636.94,825581831.4245121,True
2,DRO(0.05),946188221.8548132,1876410036.94,930221815.0851868,True
2,DRO(0.10),989035291.3762199,1663317475.42,674282184.0437802,True
2,DRO(0.20),1168502245.5369368,1185354832.88,16852587.343063354,True
2,ROB,1073851398.3406396,1161622544.88,87771146.53936052,True
3,DET,694212167.720706,466063053.65000004,-228149114.07070595,False
3,SAA,1270320656.8011,579943455.81,-690377200.9911001,False
3,DRO(0.05),1295118529.5227892,574593211.16,-720525318.3627893,False
3,DRO(0.10),1395211583.4806204,583393211.16,-811818372.3206204,False
3,DRO(0.20),1870330474.8849697,584193211.16,-1286137263.7249699,False
3,ROB,1073851398.3406396,559085081.1599998,-514766317.18063974,False
