instance,method,plan_obj,time_s,oos_mean,oos_std,oos_cv,oos_p50,oos_p95,disappointment_rate,disappointment_mean,budget_exceed_rate,service_fail_rate,unmet_mean_t,recycled_mean_t
real,DET,694212167.720706,0.15092992782592773,890559383.4656084,486117719.714335,0.5458566028720172,709533417.064363,2203155911.4800005,0.5470953186689226,233482220.0032506,0.5470953186689226,0.46926113931190055,432826.54891063925,3610244.8535785642
real,SAA,808934229.0107698,13.542545080184937,801204108.5714488,145295120.71702024,0.18134595062933742,785448779.7297001,1152167057.6377406,0.3812746756909193,42351308.57556309,0.8787366046249292,0.0,0.0,3896649.482713323
real,DRO(0.05),824470100.2099316,12.786596775054932,806416937.9812989,143069226.1734303,0.17741346868479108,791630181.9892637,1150516388.9589171,0.22278623801466435,38753942.22958223,0.8821206993795823,0.0,0.0,3856223.9308618684
real,DRO(0.10),867475923.7605718,12.915233135223389,812743358.6527064,142578659.26974046,0.17542888262550022,798198630.3955857,1155264331.8647997,0.134799774393683,32249224.014977504,0.8821206993795823,0.0,0.0,3852196.536706938
real,DRO(0.20),1053343441.2542559,13.762907981872559,814943358.6527063,142578659.26974046,0.17495529935412524,800398630.3955857,1157464331.8647997,0.11111111111111108,11568987.84561598,0.8855047941342353,0.0,0.0,3852196.536706938
real,ROB,1073851398.3406396,1.160027265548706,794732980.2735565,150182244.29302236,0.1889719541289552,777723509.1581864,1161622544.88,0.11111111111111108,9752349.6154845,0.875352509870276,0.11111111111111108,3411.11111111111,3897573.4257615684
batch1,DET,669146186.1972086,0.13234496116638184,865584643.5159199,489177270.34730256,0.565140883692567,683280335.7519214,2189456790.4727254,0.5437112239142694,233262184.09474355,0.5437112239142694,0.4726452340665537,435050.67041993665,3704707.1301084156
batch1,SAA,786876679.2926065,12.891077995300293,781799983.9107637,135752614.28456232,0.17364110652125236,766175500.2610371,1113345486.9155452,0.37789058093626615,39714850.55119731,0.8888888888888885,0.0,0.0,4222778.52064222
batch1,DRO(0.05),803075506.9563144,13.105400085449219,788558017.9584086,131776684.08428782,0.16711095579937177,774464943.1931236,1107337966.210268,0.23293852227862372,35862942.20161652,0.8888888888888885,0.0,0.0,4183812.3471014677
batch1,DRO(0.10),842942539.9870787,13.086406946182251,794456554.2491713,130107548.2233335,0.1637692426696588,781064943.1931236,1107730489.425086,0.12803158488437674,29563515.147189446,0.8888888888888885,0.0,0.0,4181519.9228478293
