penalty,method,oos_mean,oos_nopen_approx,unmet_mean_t,service_fail
100.0,DET,686134246.6256565,504158764.7231085,2021949.7989172002,0.8888888888888885
100.0,SAA,707230703.2693925,351098340.2492636,3957026.25577921,0.9999999999999997
100.0,DRO(0.10),707230703.2693925,351098340.2492636,3957026.25577921,0.9999999999999997
250.0,DET,781541878.694365,675548443.4642067,441639.31345899304,0.4794134235758599
250.0,SAA,787565426.6955719,777725616.5622386,40999.20888888886,0.11111111111111108
250.0,DRO(0.10),790637396.0816154,782952252.6149487,32021.431111111087,0.11111111111111108
500.0,DET,890559383.4656084,678474374.4993951,432826.54891063925,0.46926113931190055
500.0,SAA,801204108.5714488,801204108.5714488,0.0,0.0
500.0,DRO(0.10),812743358.6527064,812743358.6527064,0.0,0.0
1000.0,DET,1106972657.920928,678474374.4993951,432826.54891063925,0.46926113931190055
1000.0,SAA,801204108.5714488,801204108.5714488,0.0,0.0
1000.0,DRO(0.10),817198682.7867489,817198682.7867489,0.0,0.0
