rho,phi,method,time_s,assump1_lhs,assump1_rhs,assump1_ok,committed_cost,oos_mean,oos_std,oos_cv,oos_p50,oos_p95,disappointment_rate,disappointment_mean,service_fail_rate,unmet_mean_t,recycled_mean_t
0.7,0.75,SAA,14.587306022644043,15.0,30.0,True,941022843.6520225,928119707.2262381,294891496.4390165,0.3177300235551769,862860802.5527631,1711105928.491429,0.17879300620417363,88309444.551589,0.11111111111111108,91766.66666666664,4175181.303575151
0.7,0.75,DRO(0.10),14.476042032241821,15.0,30.0,True,1024763282.8610314,928119707.2262381,294891496.4390165,0.3177300235551769,862860802.5527631,1711105928.491429,0.11449520586576421,76345712.61282349,0.11111111111111108,91766.66666666664,4175181.303575151
0.7,0.85,SAA,14.33265471458435,17.0,30.0,True,859245951.8440948,849943685.1117629,190753687.03274107,0.22443097157390848,819199214.4911882,1335731163.3714292,0.2160180485053581,56178914.12931934,0.11111111111111108,9633.333333333381,3804962.8742723716
0.7,0.85,DRO(0.10),14.724187135696411,17.0,30.0,True,922464062.2162975,849943685.1117629,190753687.03274107,0.22443097157390848,819199214.4911882,1335731163.3714292,0.12126339537507048,46012044.01967691,0.11111111111111108,9633.333333333381,3804962.8742723716
0.7,0.95,SAA,14.026813983917236,19.0,30.0,True,797642679.3453369,790016591.3079865,148658619.4609682,0.18817151575872906,771290009.6324117,1156262893.0760903,0.2532430908065425,43161022.055577174,0.0,0.0,3488322.611442132
0.7,0.95,DRO(0.10),14.409285068511963,19.0,30.0,True,856371651.3834703,801232247.5628328,138370872.60242513,0.17269758303328156,786399601.3811566,1134989939.2942002,0.12803158488437674,31153182.61858611,0.0,0.0,3462602.6697597653
0.8,0.75,SAA,14.338279008865356,15.0,30.0,True,876663483.0718625,866811350.6533307,197688395.35340965,0.22806392094936054,835376690.9880892,1367428718.8000002,0.22617033276931747,58178813.9887311,0.11111111111111108,11099.999999999996,4293109.976484861
0.8,0.75,DRO(0.10),14.332838296890259,15.0,30.0,True,941897477.9769452,866811350.6533307,197688395.35340965,0.22806392094936054,835376690.9880892,1367428718.8000002,0.12464749012972362,47418452.850717,0.11111111111111108,11099.999999999996,4293109.976484861
0.8,0.85,SAA,13.933806896209717,17.0,30.0,True,808934229.0107698,801204108.5714488,145295120.71702024,0.18134595062933742,785448779.7297001,1152167057.6377406,0.3812746756909193,42351308.57556309,0.0,0.0,3896649.482713323
0.8,0.85,DRO(0.10),14.330649852752686,17.0,30.0,True,867475923.7605718,812743358.6527064,142578659.26974046,0.17542888262550022,798198630.3955857,1155264331.8647997,0.134799774393683,32249224.014977504,0.0,0.0,3852196.536706938
0.8,0.95,SAA,13.719882011413574,19.0,30.0,True,757783397.6466932,750974926.4893639,129125695.82093897,0.17194408397171404,738649491.7674239,1060418793.1202523,0.3846587704455724,37540109.00127697,0.0,0.0,3593779.2534821145
0.8,0.95,DRO(0.10),14.112040281295776,19.0,30.0,True,816539140.5829123,779861339.1724281,111216323.91179326,0.14261038254545816,774703920.8476362,1030841146.2956209,0.16525662718556114,24610707.90958959,0.0,0.0,3482065.369947999
0.9,0.75,SAA,14.029018878936768,15.0,30.0,True,832999293.5203376,824348377.6194422,167735957.62402275,0.2034770276474754,803137113.3794007,1237771868.896,0.2532430908065425,48808621.70792625,0.11111111111111108,2905.555555555558,4399747.045160549
0.9,0.75,DRO(0.10),14.225726842880249,15.0,30.0,True,892311384.0590875,826024984.607548,159171943.58862537,0.1926962822610619,808010122.8473883,1213079742.2754073,0.12464749012972362,35803169.421192616,0.0,0.0,4357403.340094393
0.9,0.85,SAA,13.869149208068848,17.0,30.0,True,772123630.1796095,764917879.2129211,134611182.71095902,0.17598122147369613,752284590.8682657,1086180529.5775435,0.3846587704455724,39169747.68261165,0.0,0.0,3983129.8660345073
0.9,0.85,DRO(0.10),14.106314182281494,17.0,30.0,True,821090416.6404601,770225155.6892879,125616723.99657613,0.16309091318130156,761307481.7413015,1062414511.1553903,0.1381838691483361,27115931.949048556,0.0,0.0,3923473.1303654853
0.9,0.95,SAA,13.374006032943726,19.0,30.0,True,721782913.6018453,715520608.4389365,111013023.54703185,0.15515000160405004,709994607.6286705,969203450.073544,0.4218838127467568,32475133.326317426,0.0,0.0,3747748.1553647937
0.9,0.95,DRO(0.10),13.676953077316284,19.0,30.0,True,774396186.303047,739518004.6931117,101753285.12032561,0.1375940605564453,737729340.5470359,962212476.8848232,0.17202481669486738,21683634.27838731,0.0,0.0,3658881.4129640516
