tc,rev,method,oos_mean,disc_rate
1.0,20.0,DET,898698306.2341422,0.607101947308133
1.0,20.0,SAA,1117154837.22015,0.4009163802978236
1.0,20.0,DRO(0.10),816267119.2869643,0.11111111111111115
0.6,0.0,DET,846943272.4714932,0.5933562428407791
0.6,0.0,SAA,1013699305.021636,0.4009163802978236
0.6,0.0,DRO(0.10),740081256.6057655,0.11111111111111115
0.6,10.0,DET,796601777.6449443,0.5933562428407791
0.6,10.0,SAA,985301140.7745336,0.39404352806414666
0.6,10.0,DRO(0.10),706725718.1702524,0.11111111111111115
0.6,20.0,DET,765711327.3968258,0.6002290950744561
0.6,20.0,SAA,956902976.5274314,0.3871706758304697
0.6,20.0,DRO(0.10),673339041.3283464,0.11111111111111115
0.6,30.0,DET,734632143.7958554,0.6002290950744561
0.6,30.0,SAA,928504812.2803291,0.3871706758304697
0.6,30.0,DRO(0.10),639808099.7835741,0.11111111111111115
0.6,40.0,DET,703725149.4452004,0.607101947308133
0.6,40.0,SAA,899980922.69456,0.3871706758304697
0.6,40.0,DRO(0.10),605857478.7899864,0.11111111111111115
0.8,0.0,DET,887251331.5111417,0.6002290950744561
0.8,0.0,SAA,1093828165.8708227,0.4009163802978236
0.8,0.0,DRO(0.10),811630587.7580262,0.11111111111111115
0.8,10.0,DET,859077477.7110298,0.6002290950744561
0.8,10.0,SAA,1065430001.6237204,0.4009163802978236
0.8,10.0,DRO(0.10),778264123.6514853,0.11111111111111115
0.8,20.0,DET,828092911.641351,0.6002290950744561
0.8,20.0,SAA,1037031837.376618,0.4009163802978236
0.8,20.0,DRO(0.10),744828174.0713537,0.11111111111111115
0.8,30.0,DET,804334025.1569339,0.607101947308133
0.8,30.0,SAA,1008633673.1295159,0.39404352806414666
0.8,30.0,DRO(0.10),711227663.3346443,0.11111111111111115
0.8,40.0,DET,773154889.2919495,0.607101947308133
0.8,40.0,SAA,979968152.8753026,0.3871706758304697
0.8,40.0,DRO(0.10),676774651.2910066,0.11111111111111115
1.0,0.0,DET,953522707.7388599,0.607101947308133
1.0,0.0,SAA,883150786.152054,0.2210767468499428
1.0,0.0,DRO(0.10),883150786.152054,0.11111111111111115
1.0,10.0,DET,929751388.8447722,0.607101947308133
1.0,10.0,SAA,849753071.2724519,0.19358533791523488
1.0,10.0,DRO(0.10),849753071.2724519,0.11111111111111115
1.0,30.0,DET,867604557.2155741,0.607101947308133
1.0,30.0,SAA,1088744552.9646814,0.4009163802978236
1.0,30.0,DRO(0.10),782600523.1709118,0.11111111111111115
1.0,40.0,DET,838300259.8030764,0.607101947308133
1.0,40.0,SAA,1059948075.6059452,0.4009163802978236
1.0,40.0,DRO(0.10),747550063.837295,0.11111111111111115
1.2,0.0,DET,998866736.7332902,0.6002290950744561
1.2,0.0,SAA,954628608.9116807,0.2210767468499428
1.2,0.0,DRO(0.10),954628608.9116807,0.11111111111111115
1.2,10.0,DET,967119544.8397496,0.6002290950744561
1.2,10.0,SAA,921198845.943346,0.20045819014891186
1.2,10.0,DRO(0.10),921198845.943346,0.11111111111111115
1.2,20.0,DET,941669366.6398731,0.6002290950744561
1.2,20.0,SAA,887654660.8642747,0.17983963344788093
1.2,20.0,DRO(0.10),887654660.8642747,0.11111111111111115
1.2,30.0,DET,909626743.1231734,0.6002290950744561
1.2,30.0,SAA,853751283.1933942,0.16609392898052697
1.2,30.0,DRO(0.10),853751283.1933942,0.11111111111111115
1.2,40.0,DET,875939194.7290785,0.6002290950744561
1.2,40.0,SAA,818320073.284618,0.152348224513173
1.2,40.0,DRO(0.10),818320073.284618,0.11111111111111115
1.5,0.0,DET,1099867374.9810233,0.6002290950744561
1.5,0.0,SAA,1061791792.4464285,0.2210767468499428
1.5,0.0,DRO(0.10),1064164516.2498826,0.11798396334478813
1.5,10.0,DET,1068046948.7191362,0.6002290950744561
1.5,10.0,SAA,1028303249.2012329,0.21420389461626582
1.5,10.0,DRO(0.10),1028303249.2012329,0.11111111111111115
1.5,20.0,DET,1036263874.0444199,0.6002290950744561
1.5,20.0,SAA,994683245.6028591,0.20045819014891186
1.5,20.0,DRO(0.10),994683245.6028591,0.11111111111111115
1.5,30.0,DET,1003768260.0032269,0.6002290950744561
1.5,30.0,SAA,960301523.5853359,0.17983963344788093
1.5,30.0,DRO(0.10),960301523.5853359,0.11111111111111115
1.5,40.0,DET,969495487.8812066,0.6002290950744561
1.5,40.0,SAA,924432272.0762066,0.17296678121420395
1.5,40.0,DRO(0.10),924432272.0762066,0.11111111111111115
